"ID_REF"	"GSM101095"	"GSM101096"	"GSM101097"	"GSM101098"	"GSM101099"	"GSM101100"	"GSM101101"	"GSM101102"	"GSM101103"	"GSM101104"	"GSM101105"	"GSM101106"	"GSM101107"	"GSM101108"	"GSM101109"	"GSM101110"	"GSM101111"	"GSM101112"	"GSM101113"	"GSM101114"	"GSM101115"	"GSM101116"
"226847_at"	9.281614	9.610754	10.233532	10.299095	9.215811	9.810273	8.58526	11.721367	10.340647	9.129533	8.544237	9.199833	8.056073	9.090957	7.922973	8.051603	13.086896	9.741056	8.97122	8.482184	8.937655	9.192808
"226848_at"	74.65038	282.71188	235.59727	405.4696	49.608486	190.84517	158.38211	99.14216	118.36106	205.63852	308.49368	216.77852	74.11082	39.612656	128.90196	33.063305	224.7386	284.41446	253.29613	147.44826	200.29205	228.73634
"226849_at"	185.79301	112.59468	123.275024	107.463036	122.80947	143.82907	119.20619	131.2632	144.56485	104.585495	115.35177	135.89912	92.75066	105.94459	92.49992	105.1679	110.38142	91.74215	113.97081	112.49706	113.89964	111.436104
"226850_at"	949.0859	686.54517	906.2699	968.51953	800.6259	1096.6593	1133.1064	911.9491	926.3685	714.2052	863.5857	837.3165	687.9287	589.2713	828.4712	753.9936	847.3154	870.77856	994.4072	775.06134	895.94904	833.2003
"226851_at"	72.27922	182.41922	192.88286	207.89919	65.653824	194.69214	188.90771	157.01917	218.03508	205.30334	208.67984	226.27261	175.32414	72.6364	176.9748	86.66594	210.75446	171.55586	194.42885	197.32498	148.13036	189.31459
"226852_at"	57.29826	47.459373	45.3215	52.87265	43.240902	57.76148	38.566704	47.98944	54.372612	47.778374	45.789528	46.67851	53.77768	48.70426	43.687443	61.098064	37.213604	37.932137	53.807526	43.3988	45.78477	35.74879
"226853_at"	64.66777	196.7162	144.55975	291.06534	64.03786	149.06396	219.09311	167.33919	167.66473	142.07771	213.62651	191.7282	121.88369	70.36577	117.85274	56.224583	108.60666	105.614204	146.64688	129.3905	155.1555	103.613625
"226854_at"	80.091415	98.89814	104.992874	122.92465	97.33168	104.930916	107.45929	92.45817	82.07823	103.73227	84.91218	108.7613	66.550804	74.82412	67.49058	111.21586	105.39084	87.34837	95.49459	83.170815	72.209015	97.26752
"226855_at"	105.691086	121.22975	128.43745	160.34561	95.88975	130.4185	160.74109	170.653	156.19296	132.27625	137.59335	137.38585	107.362236	91.03784	92.55768	103.69983	122.37333	132.27158	100.73415	90.744514	121.24027	121.4824
"226856_at"	167.37405	125.04621	262.88452	317.38895	128.26823	181.71141	90.285934	114.70099	151.8446	167.9094	126.91103	163.65736	69.94214	76.722916	122.92887	70.318245	141.47246	69.54516	139.4299	137.61743	131.67393	127.32357
"226857_at"	130.49776	89.123	82.185074	121.1667	85.7756	118.982956	81.52175	89.962074	93.15227	102.74516	117.13701	113.02539	93.132904	187.14871	71.12328	82.829384	65.636665	74.773506	121.9684	78.53201	83.17224	93.86954
